Index,S_ID,S_Abbrev,Structure_Method,R_ID,R_Abbrev,Reasoning_Method,P_ID,P_Abbrev,Presentation_Method,Problem_Types,Output_Types,Avg_Complexity,Avg_Domain_Specificity
49,1,S1,DSRP,16,R16,Intuitive Decision-Making,8,P8,Technical Report,complex,qualitative,1.67,0.27
50,1,S1,DSRP,16,R16,Intuitive Decision-Making,10,P10,White Paper,complex,qualitative,1.67,0.30
51,1,S1,DSRP,16,R16,Intuitive Decision-Making,11,P11,Academic Paper,complex,qualitative,2.00,0.30
52,1,S1,DSRP,16,R16,Intuitive Decision-Making,12,P12,Case Study,complex,qualitative,1.67,0.30
53,1,S1,DSRP,16,R16,Intuitive Decision-Making,15,P15,Dialogue,complex,qualitative,1.67,0.30
54,1,S1,DSRP,16,R16,Intuitive Decision-Making,33,P33,Narrative Synthesis,complex,qualitative,1.67,0.27
55,1,S1,DSRP,16,R16,Intuitive Decision-Making,35,P35,Dialogue Format,complex,qualitative,1.67,0.30
56,1,S1,DSRP,20,R20,Sensitivity Analysis,8,P8,Technical Report,complex,quantitative,2.00,0.27
57,1,S1,DSRP,20,R20,Sensitivity Analysis,11,P11,Academic Paper,complex,quantitative,2.33,0.30
58,1,S1,DSRP,20,R20,Sensitivity Analysis,17,P17,Decision Matrix,complex,quantitative,1.67,0.30
59,1,S1,DSRP,20,R20,Sensitivity Analysis,21,P21,Dashboard,complex,quantitative,2.00,0.30
60,1,S1,DSRP,20,R20,Sensitivity Analysis,29,P29,Interactive Visualization,complex,quantitative,2.33,0.33
61,1,S1,DSRP,20,R20,Sensitivity Analysis,31,P31,Simulation,complex,quantitative,2.33,0.37
62,1,S1,DSRP,21,R21,Analogical Reasoning,1,P1,Cornell Notes,complex,conceptual,1.67,0.30
63,1,S1,DSRP,21,R21,Analogical Reasoning,2,P2,SQ3R,complex,conceptual,1.67,0.33
64,1,S1,DSRP,21,R21,Analogical Reasoning,3,P3,CODE (Second Brain),complex,conceptual,2.00,0.30
65,1,S1,DSRP,21,R21,Analogical Reasoning,4,P4,Progressive Summarization,complex,conceptual,2.00,0.30
66,1,S1,DSRP,21,R21,Analogical Reasoning,6,P6,Memo,complex,conceptual,1.67,0.23
67,1,S1,DSRP,21,R21,Analogical Reasoning,7,P7,Executive Summary,complex,conceptual,1.67,0.23
68,1,S1,DSRP,21,R21,Analogical Reasoning,10,P10,White Paper,complex,conceptual,2.00,0.27
69,1,S1,DSRP,21,R21,Analogical Reasoning,14,P14,FAQ,complex,conceptual,1.67,0.23
70,1,S1,DSRP,21,R21,Analogical Reasoning,25,P25,Mind Map,complex,conceptual,1.67,0.23
71,1,S1,DSRP,21,R21,Analogical Reasoning,28,P28,Slide Deck,complex,conceptual,1.67,0.23
72,1,S1,DSRP,21,R21,Analogical Reasoning,36,P36,Metaphorical Explanation,complex,conceptual,2.00,0.27
73,1,S1,DSRP,24,R24,Scenario Planning,5,P5,Checklist,complex,sequential,1.67,0.30
74,1,S1,DSRP,24,R24,Scenario Planning,6,P6,Memo,complex,narrative,1.67,0.27
75,1,S1,DSRP,24,R24,Scenario Planning,8,P8,Technical Report,complex,sequential,2.00,0.27
76,1,S1,DSRP,24,R24,Scenario Planning,9,P9,Policy Brief,complex,narrative,2.00,0.33
77,1,S1,DSRP,24,R24,Scenario Planning,12,P12,Case Study,complex,narrative,2.00,0.30
78,1,S1,DSRP,24,R24,Scenario Planning,13,P13,Tutorial,complex,sequential,1.67,0.30
79,1,S1,DSRP,24,R24,Scenario Planning,15,P15,Dialogue,complex,narrative,2.00,0.30
80,1,S1,DSRP,24,R24,Scenario Planning,19,P19,Flowchart,complex,sequential,1.67,0.27
81,1,S1,DSRP,24,R24,Scenario Planning,20,P20,Gantt Chart,complex,sequential,1.67,0.33
82,1,S1,DSRP,24,R24,Scenario Planning,22,P22,Infographic,complex,narrative,1.67,0.30
83,1,S1,DSRP,24,R24,Scenario Planning,26,P26,Timeline,complex,sequential,1.67,0.27
84,1,S1,DSRP,24,R24,Scenario Planning,28,P28,Slide Deck,complex,narrative,1.67,0.27
85,1,S1,DSRP,24,R24,Scenario Planning,30,P30,Video,complex,narrative,2.00,0.30
86,1,S1,DSRP,24,R24,Scenario Planning,32,P32,Annotated Code,complex,sequential,2.00,0.40
87,1,S1,DSRP,24,R24,Scenario Planning,33,P33,Narrative Synthesis,complex,narrative,2.00,0.27
88,1,S1,DSRP,24,R24,Scenario Planning,34,P34,Scenario Narrative,complex,narrative,2.00,0.30
89,1,S1,DSRP,24,R24,Scenario Planning,35,P35,Dialogue Format,complex,narrative,2.00,0.30
90,1,S1,DSRP,24,R24,Scenario Planning,36,P36,Metaphorical Explanation,complex,narrative,2.00,0.30
91,1,S1,DSRP,25,R25,Counterfactual Analysis,6,P6,Memo,complex,narrative,1.67,0.27
92,1,S1,DSRP,25,R25,Counterfactual Analysis,9,P9,Policy Brief,complex,narrative,2.00,0.33
93,1,S1,DSRP,25,R25,Counterfactual Analysis,12,P12,Case Study,complex,narrative,2.00,0.30
94,1,S1,DSRP,25,R25,Counterfactual Analysis,15,P15,Dialogue,complex,narrative,2.00,0.30
95,1,S1,DSRP,25,R25,Counterfactual Analysis,22,P22,Infographic,complex,narrative,1.67,0.30
96,1,S1,DSRP,25,R25,Counterfactual Analysis,28,P28,Slide Deck,complex,narrative,1.67,0.27
97,1,S1,DSRP,25,R25,Counterfactual Analysis,30,P30,Video,complex,narrative,2.00,0.30
98,1,S1,DSRP,25,R25,Counterfactual Analysis,33,P33,Narrative Synthesis,complex,narrative,2.00,0.27
99,1,S1,DSRP,25,R25,Counterfactual Analysis,34,P34,Scenario Narrative,complex,narrative,2.00,0.30
100,1,S1,DSRP,25,R25,Counterfactual Analysis,35,P35,Dialogue Format,complex,narrative,2.00,0.30
101,1,S1,DSRP,25,R25,Counterfactual Analysis,36,P36,Metaphorical Explanation,complex,narrative,2.00,0.30
102,1,S1,DSRP,26,R26,Pre-mortem Analysis,6,P6,Memo,complex,qualitative,1.67,0.23
103,1,S1,DSRP,26,R26,Pre-mortem Analysis,8,P8,Technical Report,complex,qualitative,2.00,0.23
104,1,S1,DSRP,26,R26,Pre-mortem Analysis,10,P10,White Paper,complex,qualitative,2.00,0.27
105,1,S1,DSRP,26,R26,Pre-mortem Analysis,11,P11,Academic Paper,complex,qualitative,2.33,0.27
106,1,S1,DSRP,26,R26,Pre-mortem Analysis,12,P12,Case Study,complex,qualitative,2.00,0.27
107,1,S1,DSRP,26,R26,Pre-mortem Analysis,15,P15,Dialogue,complex,qualitative,2.00,0.27
108,1,S1,DSRP,26,R26,Pre-mortem Analysis,33,P33,Narrative Synthesis,complex,qualitative,2.00,0.23
109,1,S1,DSRP,26,R26,Pre-mortem Analysis,35,P35,Dialogue Format,complex,qualitative,2.00,0.27
110,1,S1,DSRP,28,R28,Red Team/Blue Team,7,P7,Executive Summary,complex,comparative,1.67,0.30
111,1,S1,DSRP,28,R28,Red Team/Blue Team,9,P9,Policy Brief,complex,comparative,2.00,0.37
112,1,S1,DSRP,28,R28,Red Team/Blue Team,16,P16,Comparative Table,complex,comparative,1.67,0.30
113,1,S1,DSRP,28,R28,Red Team/Blue Team,17,P17,Decision Matrix,complex,comparative,1.67,0.33
114,1,S1,DSRP,31,R31,Critical Thinking,6,P6,Memo,complex,qualitative,1.67,0.23
115,1,S1,DSRP,31,R31,Critical Thinking,8,P8,Technical Report,complex,qualitative,2.00,0.23
116,1,S1,DSRP,31,R31,Critical Thinking,10,P10,White Paper,complex,qualitative,2.00,0.27
117,1,S1,DSRP,31,R31,Critical Thinking,11,P11,Academic Paper,complex,qualitative,2.33,0.27
118,1,S1,DSRP,31,R31,Critical Thinking,12,P12,Case Study,complex,qualitative,2.00,0.27
119,1,S1,DSRP,31,R31,Critical Thinking,15,P15,Dialogue,complex,qualitative,2.00,0.27
120,1,S1,DSRP,31,R31,Critical Thinking,33,P33,Narrative Synthesis,complex,qualitative,2.00,0.23
121,1,S1,DSRP,31,R31,Critical Thinking,35,P35,Dialogue Format,complex,qualitative,2.00,0.27
122,1,S1,DSRP,36,R36,Delphi Method,6,P6,Memo,complex,qualitative,1.67,0.30
123,1,S1,DSRP,36,R36,Delphi Method,8,P8,Technical Report,complex,qualitative,2.00,0.30
124,1,S1,DSRP,36,R36,Delphi Method,10,P10,White Paper,complex,qualitative,2.00,0.33
125,1,S1,DSRP,36,R36,Delphi Method,11,P11,Academic Paper,complex,qualitative,2.33,0.33
126,1,S1,DSRP,36,R36,Delphi Method,12,P12,Case Study,complex,qualitative,2.00,0.33
127,1,S1,DSRP,36,R36,Delphi Method,15,P15,Dialogue,complex,qualitative,2.00,0.33
128,1,S1,DSRP,36,R36,Delphi Method,33,P33,Narrative Synthesis,complex,qualitative,2.00,0.30
129,1,S1,DSRP,36,R36,Delphi Method,35,P35,Dialogue Format,complex,qualitative,2.00,0.33
130,1,S1,DSRP,38,R38,Six Thinking Hats,6,P6,Memo,complex,qualitative,1.33,0.27
131,1,S1,DSRP,38,R38,Six Thinking Hats,8,P8,Technical Report,complex,qualitative,1.67,0.27
132,1,S1,DSRP,38,R38,Six Thinking Hats,10,P10,White Paper,complex,qualitative,1.67,0.30
133,1,S1,DSRP,38,R38,Six Thinking Hats,11,P11,Academic Paper,complex,qualitative,2.00,0.30
134,1,S1,DSRP,38,R38,Six Thinking Hats,12,P12,Case Study,complex,qualitative,1.67,0.30
135,1,S1,DSRP,38,R38,Six Thinking Hats,15,P15,Dialogue,complex,qualitative,1.67,0.30
136,1,S1,DSRP,38,R38,Six Thinking Hats,33,P33,Narrative Synthesis,complex,qualitative,1.67,0.27
137,1,S1,DSRP,38,R38,Six Thinking Hats,35,P35,Dialogue Format,complex,qualitative,1.67,0.30
138,2,S2,Soft Systems Methodology,8,R8,Design Thinking,5,P5,Checklist,wicked,sequential,2.00,0.33
139,2,S2,Soft Systems Methodology,8,R8,Design Thinking,6,P6,Memo,wicked,qualitative,2.00,0.30
140,2,S2,Soft Systems Methodology,8,R8,Design Thinking,8,P8,Technical Report,wicked,qualitative; sequential,2.33,0.30
141,2,S2,Soft Systems Methodology,8,R8,Design Thinking,10,P10,White Paper,wicked,qualitative,2.33,0.33
142,2,S2,Soft Systems Methodology,8,R8,Design Thinking,11,P11,Academic Paper,wicked,qualitative,2.67,0.33
143,2,S2,Soft Systems Methodology,8,R8,Design Thinking,12,P12,Case Study,wicked,qualitative,2.33,0.33
144,2,S2,Soft Systems Methodology,8,R8,Design Thinking,13,P13,Tutorial,wicked,sequential,2.00,0.33
145,2,S2,Soft Systems Methodology,8,R8,Design Thinking,15,P15,Dialogue,wicked,qualitative,2.33,0.33
146,2,S2,Soft Systems Methodology,8,R8,Design Thinking,19,P19,Flowchart,wicked,sequential,2.00,0.30
147,2,S2,Soft Systems Methodology,8,R8,Design Thinking,20,P20,Gantt Chart,wicked,sequential,2.00,0.37
148,2,S2,Soft Systems Methodology,8,R8,Design Thinking,26,P26,Timeline,wicked,sequential,2.00,0.30
149,2,S2,Soft Systems Methodology,8,R8,Design Thinking,32,P32,Annotated Code,wicked,sequential,2.33,0.43
150,2,S2,Soft Systems Methodology,8,R8,Design Thinking,33,P33,Narrative Synthesis,wicked,qualitative,2.33,0.30
151,2,S2,Soft Systems Methodology,8,R8,Design Thinking,35,P35,Dialogue Format,wicked,qualitative,2.33,0.33
152,2,S2,Soft Systems Methodology,30,R30,Dialectical Reasoning,6,P6,Memo,wicked,qualitative,2.00,0.30
153,2,S2,Soft Systems Methodology,30,R30,Dialectical Reasoning,8,P8,Technical Report,wicked,qualitative,2.33,0.30
154,2,S2,Soft Systems Methodology,30,R30,Dialectical Reasoning,10,P10,White Paper,wicked,qualitative,2.33,0.33
155,2,S2,Soft Systems Methodology,30,R30,Dialectical Reasoning,11,P11,Academic Paper,wicked,qualitative,2.67,0.33
156,2,S2,Soft Systems Methodology,30,R30,Dialectical Reasoning,12,P12,Case Study,wicked,qualitative,2.33,0.33
157,2,S2,Soft Systems Methodology,30,R30,Dialectical Reasoning,15,P15,Dialogue,wicked,qualitative,2.33,0.33
158,2,S2,Soft Systems Methodology,30,R30,Dialectical Reasoning,33,P33,Narrative Synthesis,wicked,qualitative,2.33,0.30
159,2,S2,Soft Systems Methodology,30,R30,Dialectical Reasoning,35,P35,Dialogue Format,wicked,qualitative,2.33,0.33
160,3,S3,System Dynamics,3,R3,Abductive Reasoning,1,P1,Cornell Notes,complex,conceptual,2.00,0.40
161,3,S3,System Dynamics,3,R3,Abductive Reasoning,2,P2,SQ3R,complex,conceptual,2.00,0.43
162,3,S3,System Dynamics,3,R3,Abductive Reasoning,3,P3,CODE (Second Brain),complex,conceptual,2.33,0.40
163,3,S3,System Dynamics,3,R3,Abductive Reasoning,4,P4,Progressive Summarization,complex,conceptual,2.33,0.40
164,3,S3,System Dynamics,3,R3,Abductive Reasoning,6,P6,Memo,complex,conceptual,2.00,0.33
165,3,S3,System Dynamics,3,R3,Abductive Reasoning,7,P7,Executive Summary,complex,conceptual,2.00,0.33
166,3,S3,System Dynamics,3,R3,Abductive Reasoning,10,P10,White Paper,complex,conceptual,2.33,0.37
167,3,S3,System Dynamics,3,R3,Abductive Reasoning,14,P14,FAQ,complex,conceptual,2.00,0.33
168,3,S3,System Dynamics,3,R3,Abductive Reasoning,25,P25,Mind Map,complex,conceptual,2.00,0.33
169,3,S3,System Dynamics,3,R3,Abductive Reasoning,28,P28,Slide Deck,complex,conceptual,2.00,0.33
170,3,S3,System Dynamics,3,R3,Abductive Reasoning,36,P36,Metaphorical Explanation,complex,conceptual,2.33,0.37
171,3,S3,System Dynamics,8,R8,Design Thinking,5,P5,Checklist,complex,sequential,2.00,0.37
172,3,S3,System Dynamics,8,R8,Design Thinking,6,P6,Memo,complex,qualitative,2.00,0.33
173,3,S3,System Dynamics,8,R8,Design Thinking,8,P8,Technical Report,complex,qualitative; sequential,2.33,0.33
174,3,S3,System Dynamics,8,R8,Design Thinking,10,P10,White Paper,complex,qualitative,2.33,0.37
175,3,S3,System Dynamics,8,R8,Design Thinking,11,P11,Academic Paper,complex,qualitative,2.67,0.37
176,3,S3,System Dynamics,8,R8,Design Thinking,12,P12,Case Study,complex,qualitative,2.33,0.37
177,3,S3,System Dynamics,8,R8,Design Thinking,13,P13,Tutorial,complex,sequential,2.00,0.37
178,3,S3,System Dynamics,8,R8,Design Thinking,15,P15,Dialogue,complex,qualitative,2.33,0.37
179,3,S3,System Dynamics,8,R8,Design Thinking,19,P19,Flowchart,complex,sequential,2.00,0.33
180,3,S3,System Dynamics,8,R8,Design Thinking,20,P20,Gantt Chart,complex,sequential,2.00,0.40
181,3,S3,System Dynamics,8,R8,Design Thinking,26,P26,Timeline,complex,sequential,2.00,0.33
182,3,S3,System Dynamics,8,R8,Design Thinking,32,P32,Annotated Code,complex,sequential,2.33,0.47
183,3,S3,System Dynamics,8,R8,Design Thinking,33,P33,Narrative Synthesis,complex,qualitative,2.33,0.33
184,3,S3,System Dynamics,8,R8,Design Thinking,35,P35,Dialogue Format,complex,qualitative,2.33,0.37
185,3,S3,System Dynamics,9,R9,OODA Loop,5,P5,Checklist,complex,sequential,2.00,0.40
186,3,S3,System Dynamics,9,R9,OODA Loop,8,P8,Technical Report,complex,sequential,2.33,0.37
187,3,S3,System Dynamics,9,R9,OODA Loop,13,P13,Tutorial,complex,sequential,2.00,0.40
188,3,S3,System Dynamics,9,R9,OODA Loop,19,P19,Flowchart,complex,sequential,2.00,0.37
189,3,S3,System Dynamics,9,R9,OODA Loop,20,P20,Gantt Chart,complex,sequential,2.00,0.43
190,3,S3,System Dynamics,9,R9,OODA Loop,26,P26,Timeline,complex,sequential,2.00,0.37
191,3,S3,System Dynamics,9,R9,OODA Loop,32,P32,Annotated Code,complex,sequential,2.33,0.50
192,3,S3,System Dynamics,12,R12,Scientific Method,5,P5,Checklist,complex,sequential,2.00,0.33
193,3,S3,System Dynamics,12,R12,Scientific Method,8,P8,Technical Report,complex,sequential,2.33,0.30
194,3,S3,System Dynamics,12,R12,Scientific Method,13,P13,Tutorial,complex,sequential,2.00,0.33
195,3,S3,System Dynamics,12,R12,Scientific Method,19,P19,Flowchart,complex,sequential,2.00,0.30
196,3,S3,System Dynamics,12,R12,Scientific Method,20,P20,Gantt Chart,complex,sequential,2.00,0.37
197,3,S3,System Dynamics,12,R12,Scientific Method,26,P26,Timeline,complex,sequential,2.00,0.30
198,3,S3,System Dynamics,12,R12,Scientific Method,32,P32,Annotated Code,complex,sequential,2.33,0.43
199,3,S3,System Dynamics,15,R15,Naturalistic Decision-Making,6,P6,Memo,complex,qualitative,2.00,0.37
200,3,S3,System Dynamics,15,R15,Naturalistic Decision-Making,8,P8,Technical Report,complex,qualitative,2.33,0.37
201,3,S3,System Dynamics,15,R15,Naturalistic Decision-Making,10,P10,White Paper,complex,qualitative,2.33,0.40
202,3,S3,System Dynamics,15,R15,Naturalistic Decision-Making,11,P11,Academic Paper,complex,qualitative,2.67,0.40
203,3,S3,System Dynamics,15,R15,Naturalistic Decision-Making,12,P12,Case Study,complex,qualitative,2.33,0.40
204,3,S3,System Dynamics,15,R15,Naturalistic Decision-Making,15,P15,Dialogue,complex,qualitative,2.33,0.40
205,3,S3,System Dynamics,15,R15,Naturalistic Decision-Making,33,P33,Narrative Synthesis,complex,qualitative,2.33,0.37
206,3,S3,System Dynamics,15,R15,Naturalistic Decision-Making,35,P35,Dialogue Format,complex,qualitative,2.33,0.40
207,3,S3,System Dynamics,16,R16,Intuitive Decision-Making,6,P6,Memo,complex,qualitative,1.67,0.33
208,3,S3,System Dynamics,16,R16,Intuitive Decision-Making,8,P8,Technical Report,complex,qualitative,2.00,0.33
209,3,S3,System Dynamics,16,R16,Intuitive Decision-Making,10,P10,White Paper,complex,qualitative,2.00,0.37
210,3,S3,System Dynamics,16,R16,Intuitive Decision-Making,11,P11,Academic Paper,complex,qualitative,2.33,0.37
211,3,S3,System Dynamics,16,R16,Intuitive Decision-Making,12,P12,Case Study,complex,qualitative,2.00,0.37
212,3,S3,System Dynamics,16,R16,Intuitive Decision-Making,15,P15,Dialogue,complex,qualitative,2.00,0.37
213,3,S3,System Dynamics,16,R16,Intuitive Decision-Making,33,P33,Narrative Synthesis,complex,qualitative,2.00,0.33
214,3,S3,System Dynamics,16,R16,Intuitive Decision-Making,35,P35,Dialogue Format,complex,qualitative,2.00,0.37
215,3,S3,System Dynamics,20,R20,Sensitivity Analysis,8,P8,Technical Report,complex,quantitative,2.33,0.33
216,3,S3,System Dynamics,20,R20,Sensitivity Analysis,11,P11,Academic Paper,complex,quantitative,2.67,0.37
217,3,S3,System Dynamics,20,R20,Sensitivity Analysis,17,P17,Decision Matrix,complex,quantitative,2.00,0.37
218,3,S3,System Dynamics,20,R20,Sensitivity Analysis,21,P21,Dashboard,complex,quantitative,2.33,0.37
219,3,S3,System Dynamics,20,R20,Sensitivity Analysis,29,P29,Interactive Visualization,complex,quantitative,2.67,0.40
220,3,S3,System Dynamics,20,R20,Sensitivity Analysis,31,P31,Simulation,complex,quantitative,2.67,0.43
221,3,S3,System Dynamics,21,R21,Analogical Reasoning,1,P1,Cornell Notes,complex,conceptual,2.00,0.37
222,3,S3,System Dynamics,21,R21,Analogical Reasoning,2,P2,SQ3R,complex,conceptual,2.00,0.40
223,3,S3,System Dynamics,21,R21,Analogical Reasoning,3,P3,CODE (Second Brain),complex,conceptual,2.33,0.37
224,3,S3,System Dynamics,21,R21,Analogical Reasoning,4,P4,Progressive Summarization,complex,conceptual,2.33,0.37
225,3,S3,System Dynamics,21,R21,Analogical Reasoning,6,P6,Memo,complex,conceptual,2.00,0.30
226,3,S3,System Dynamics,21,R21,Analogical Reasoning,7,P7,Executive Summary,complex,conceptual,2.00,0.30
227,3,S3,System Dynamics,21,R21,Analogical Reasoning,10,P10,White Paper,complex,conceptual,2.33,0.33
228,3,S3,System Dynamics,21,R21,Analogical Reasoning,14,P14,FAQ,complex,conceptual,2.00,0.30
229,3,S3,System Dynamics,21,R21,Analogical Reasoning,25,P25,Mind Map,complex,conceptual,2.00,0.30
230,3,S3,System Dynamics,21,R21,Analogical Reasoning,28,P28,Slide Deck,complex,conceptual,2.00,0.30
231,3,S3,System Dynamics,21,R21,Analogical Reasoning,36,P36,Metaphorical Explanation,complex,conceptual,2.33,0.33
232,3,S3,System Dynamics,24,R24,Scenario Planning,5,P5,Checklist,complex,sequential,2.00,0.37
233,3,S3,System Dynamics,24,R24,Scenario Planning,6,P6,Memo,complex,narrative,2.00,0.33
234,3,S3,System Dynamics,24,R24,Scenario Planning,8,P8,Technical Report,complex,sequential,2.33,0.33
235,3,S3,System Dynamics,24,R24,Scenario Planning,9,P9,Policy Brief,complex,narrative,2.33,0.40
236,3,S3,System Dynamics,24,R24,Scenario Planning,12,P12,Case Study,complex,narrative,2.33,0.37
237,3,S3,System Dynamics,24,R24,Scenario Planning,13,P13,Tutorial,complex,sequential,2.00,0.37
238,3,S3,System Dynamics,24,R24,Scenario Planning,15,P15,Dialogue,complex,narrative,2.33,0.37
239,3,S3,System Dynamics,24,R24,Scenario Planning,19,P19,Flowchart,complex,sequential,2.00,0.33
240,3,S3,System Dynamics,24,R24,Scenario Planning,20,P20,Gantt Chart,complex,sequential,2.00,0.40
241,3,S3,System Dynamics,24,R24,Scenario Planning,22,P22,Infographic,complex,narrative,2.00,0.37
242,3,S3,System Dynamics,24,R24,Scenario Planning,26,P26,Timeline,complex,sequential,2.00,0.33
243,3,S3,System Dynamics,24,R24,Scenario Planning,28,P28,Slide Deck,complex,narrative,2.00,0.33
244,3,S3,System Dynamics,24,R24,Scenario Planning,30,P30,Video,complex,narrative,2.33,0.37
245,3,S3,System Dynamics,24,R24,Scenario Planning,32,P32,Annotated Code,complex,sequential,2.33,0.47
246,3,S3,System Dynamics,24,R24,Scenario Planning,33,P33,Narrative Synthesis,complex,narrative,2.33,0.33
247,3,S3,System Dynamics,24,R24,Scenario Planning,34,P34,Scenario Narrative,complex,narrative,2.33,0.37
248,3,S3,System Dynamics,24,R24,Scenario Planning,35,P35,Dialogue Format,complex,narrative,2.33,0.37
249,3,S3,System Dynamics,24,R24,Scenario Planning,36,P36,Metaphorical Explanation,complex,narrative,2.33,0.37
250,3,S3,System Dynamics,25,R25,Counterfactual Analysis,6,P6,Memo,complex,narrative,2.00,0.33
251,3,S3,System Dynamics,25,R25,Counterfactual Analysis,9,P9,Policy Brief,complex,narrative,2.33,0.40
